file_path	match_count	area	phase
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/012-stop-when-all-key-questions-are-answered.md	12	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/013-composite-convergence-stop-behavior.md	12	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/014-stuck-recovery-widens-focus-and-continues.md	10	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/020-quality-guard-source-diversity.md	13	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/021-quality-guard-focus-alignment.md	13	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/022-quality-guard-no-single-weak-source.md	14	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/023-convergence-passes-guard-fails-override.md	13	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/029-insight-status-prevents-false-stuck.md	12	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/030-thought-status-convergence-handling.md	12	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/031-graph-convergence-signals.md	7	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/032-blocked-stop-reducer-surfacing.md	12	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/04--convergence-and-recovery/033-graph-aware-stop-gate.md	8	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/05--pause-resume-and-fault-tolerance/015-pause-sentinel-halts-between-iterations.md	13	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/05--pause-resume-and-fault-tolerance/016-resume-after-pause-sentinel-removal.md	12	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/05--pause-resume-and-fault-tolerance/017-malformed-jsonl-lines-are-skipped-with-defaults.md	13	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/05--pause-resume-and-fault-tolerance/018-jsonl-reconstruction-from-iteration-files.md	13	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/06--synthesis-save-and-guardrails/019-final-synthesis-memory-save-and-guardrail-behavior.md	16	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/06--synthesis-save-and-guardrails/026-ruled-out-directions-in-synthesis.md	14	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/06--synthesis-save-and-guardrails/027-resource-map-emission.md	8	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/07--command-flow-stress-tests/046-setup-yaml-handoff.md	2	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/07--command-flow-stress-tests/047-spec-fence-writeback.md	2	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/07--command-flow-stress-tests/048-resource-map-toggle.md	2	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/07--command-flow-stress-tests/049-pause-sentinel-halt.md	2	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/07--command-flow-stress-tests/050-iteration-citation-jsonl.md	3	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/07--command-flow-stress-tests/051-exhausted-approach-respect.md	2	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/07--command-flow-stress-tests/setup-cp-sandbox.sh	3	skill-folder-root	002
.opencode/skills/sk-deep-research/manual_testing_playbook/manual_testing_playbook.md	77	skill-folder-root	002
.opencode/skills/sk-deep-research/references/capability_matrix.md	3	skill-folder-root	002
.opencode/skills/sk-deep-research/references/loop_protocol.md	2	skill-folder-root	002
.opencode/skills/sk-deep-research/references/quick_reference.md	3	skill-folder-root	002
.opencode/skills/sk-deep-research/references/state_format.md	4	skill-folder-root	002
.opencode/skills/sk-deep-research/scripts/tests/fixtures/interrupted-session/research/deep-research-strategy.md	3	skill-folder-root	002
.opencode/skills/sk-deep-research/scripts/tests/fixtures/interrupted-session/research/iterations/iteration-001.md	2	skill-folder-root	002
.opencode/skills/sk-deep-review/README.md	25	skill-folder-root	002
.opencode/skills/sk-deep-review/SKILL.md	3	skill-folder-root	002
.opencode/skills/sk-deep-review/assets/deep_review_config.json	2	skill-folder-root	002
.opencode/skills/sk-deep-review/assets/deep_review_dashboard.md	1	skill-folder-root	002
.opencode/skills/sk-deep-review/assets/deep_review_strategy.md	2	skill-folder-root	002
.opencode/skills/sk-deep-review/assets/review_mode_contract.yaml	5	skill-folder-root	002
.opencode/skills/sk-deep-review/assets/runtime_capabilities.json	2	skill-folder-root	002
.opencode/skills/sk-deep-review/feature_catalog/01--loop-lifecycle/06-resource-map-emission.md	4	skill-folder-root	002
.opencode/skills/sk-deep-review/feature_catalog/feature_catalog.md	5	skill-folder-root	002
.opencode/skills/sk-deep-review/graph-metadata.json	20	skill-folder-root	002
.opencode/skills/sk-deep-review/manual_testing_playbook/01--entry-points-and-modes/001-auto-mode-deep-review-kickoff.md	10	skill-folder-root	002
.opencode/skills/sk-deep-review/manual_testing_playbook/01--entry-points-and-modes/002-confirm-mode-checkpointed-review.md	10	skill-folder-root	002
.opencode/skills/sk-deep-review/manual_testing_playbook/01--entry-points-and-modes/003-parameterized-invocation-max-iterations-convergence.md	9	skill-folder-root	002
.opencode/skills/sk-deep-review/manual_testing_playbook/02--initialization-and-state-setup/004-fresh-review-initialization-creates-canonical-state-files.md	13	skill-folder-root	002
.opencode/skills/sk-deep-review/manual_testing_playbook/02--initialization-and-state-setup/005-resume-classification-from-valid-prior-review-state.md	10	skill-folder-root	002
.opencode/skills/sk-deep-review/manual_testing_playbook/02--initialization-and-state-setup/006-invalid-or-contradictory-review-state-halts-for-repair.md	7	skill-folder-root	002
